"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundance F1 Sample"	"Abundance F2 Sample"	"Abundance F3 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Found in Sample in S3 F3 Sample"	"Modifications"
"False"	"High"	"IsMasterProtein"	"636"	"636"	"0.000"	"616.670"	"81"	"62"	"240"	"62"	"1"	"870"	"94.9"	"5.01"	"877.85"	"62"	"0"	"430045633.037109"	"1069485071.26563"	"137000507.894165"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1815"	"1815"	"0.000"	"594.647"	"56"	"68"	"173"	"68"	"1"	"1612"	"183.3"	"6.52"	"641.36"	"68"	"0"	"230782528.882813"	"536494138.109375"	"43277525.2265625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1020"	"1020"	"0.000"	"561.067"	"55"	"39"	"453"	"39"	"1"	"934"	"100.9"	"4.30"	"1348.70"	"39"	"0"	"2007582398.35938"	"3903410667.18164"	"1046496279.38501"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3658"	"3658"	"0.000"	"547.801"	"92"	"31"	"320"	"31"	"1"	"461"	"49.9"	"4.91"	"1078.57"	"31"	"0"	"1670329933.46094"	"3087350652.82031"	"337342082.269287"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"617"	"617"	"0.000"	"541.299"	"61"	"51"	"244"	"51"	"1"	"898"	"99.8"	"4.53"	"824.89"	"51"	"0"	"768474025.079834"	"1799082711.76172"	"464562980.475098"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1672"	"1672"	"0.000"	"534.170"	"69"	"43"	"196"	"43"	"1"	"703"	"76.4"	"4.92"	"818.38"	"43"	"0"	"837688670.910156"	"2045788912.39063"	"216581083.230469"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1612"	"1612"	"0.000"	"495.305"	"77"	"32"	"112"	"32"	"1"	"455"	"51.1"	"5.40"	"536.76"	"32"	"0"	"518115722.999023"	"938027985.09375"	"28085492.8271484"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1720"	"1720"	"0.000"	"479.932"	"76"	"27"	"179"	"27"	"1"	"425"	"47.7"	"6.40"	"706.50"	"27"	"0"	"859955996.280273"	"2262456240.90625"	"208214703.410156"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3116"	"3116"	"0.000"	"469.426"	"72"	"33"	"145"	"33"	"1"	"648"	"71.7"	"5.33"	"643.45"	"33"	"0"	"687790036.404053"	"1848462079.0567"	"154057658.273438"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3131"	"3131"	"0.000"	"461.326"	"87"	"27"	"394"	"27"	"1"	"394"	"43.2"	"5.03"	"1323.11"	"27"	"0"	"2234844514.97632"	"4774443919.24219"	"939613363.158203"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3660"	"3660"	"0.000"	"447.706"	"75"	"39"	"159"	"39"	"1"	"513"	"55.4"	"5.44"	"633.81"	"39"	"0"	"1220532967.69922"	"2804506175.71875"	"449846132.863281"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"725"	"725"	"0.000"	"426.819"	"79"	"37"	"108"	"37"	"1"	"663"	"71.2"	"5.02"	"508.33"	"37"	"0"	"163897241.649414"	"388135638.351563"	"29046211.2910156"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"434"	"434"	"0.000"	"422.882"	"77"	"32"	"103"	"32"	"1"	"572"	"62.5"	"6.64"	"467.56"	"32"	"0"	"144888766.339844"	"540180674.65625"	"36134913.7265625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1912"	"1912"	"0.000"	"418.670"	"59"	"38"	"137"	"38"	"1"	"556"	"61.0"	"4.91"	"582.23"	"38"	"0"	"341171218.075195"	"1227435724.25"	"90805188.2910156"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3090"	"3090"	"0.000"	"404.464"	"64"	"46"	"124"	"46"	"1"	"873"	"98.3"	"5.50"	"436.88"	"46"	"0"	"269872324.178223"	"658179849.078125"	"35107230.3554688"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1027"	"1027"	"0.000"	"403.434"	"68"	"26"	"288"	"26"	"1"	"452"	"48.4"	"5.29"	"1003.84"	"26"	"0"	"838456389.140625"	"1768561195.96094"	"469953726.579102"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2529"	"2529"	"0.000"	"396.186"	"64"	"44"	"116"	"44"	"1"	"910"	"102.1"	"5.86"	"510.86"	"44"	"0"	"162406519.611328"	"370122753.375"	"39346080.1391602"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2692"	"2692"	"0.000"	"396.163"	"66"	"49"	"114"	"49"	"1"	"891"	"99.8"	"5.38"	"445.68"	"49"	"0"	"170590226.259277"	"497474922.03125"	"43719274.7397461"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1899"	"1899"	"0.000"	"389.493"	"37"	"38"	"122"	"38"	"1"	"977"	"106.9"	"4.42"	"556.21"	"38"	"0"	"300885325.296875"	"655936947.5625"	"107606695.189453"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2445"	"2445"	"0.000"	"389.132"	"71"	"48"	"116"	"48"	"1"	"939"	"105.5"	"5.63"	"438.04"	"48"	"0"	"115226797.387939"	"328058561.947266"	"25814014.7929688"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1301"	"1301"	"0.000"	"387.890"	"51"	"42"	"114"	"42"	"1"	"1073"	"117.1"	"4.96"	"463.47"	"42"	"0"	"114295455.976318"	"309289535.492188"	"65794556.6914063"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3087"	"3087"	"0.000"	"384.414"	"83"	"30"	"125"	"30"	"1"	"446"	"47.6"	"6.16"	"439.94"	"30"	"0"	"207537473.290283"	"537068211.625"	"43841280.4863281"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2690"	"2690"	"0.000"	"380.718"	"72"	"28"	"138"	"28"	"1"	"473"	"50.4"	"5.49"	"585.15"	"28"	"0"	"577495386.603516"	"1348726259.15625"	"55427009.3359375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2523"	"2523"	"0.000"	"376.332"	"61"	"27"	"128"	"27"	"1"	"731"	"79.7"	"5.45"	"525.33"	"27"	"0"	"352168593.010498"	"802946150.117188"	"23155326.2578125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2034"	"2034"	"0.000"	"372.707"	"49"	"39"	"109"	"39"	"1"	"1127"	"121.5"	"6.05"	"457.76"	"39"	"0"	"200144905.328125"	"426313055.601563"	"49583056.1140137"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1723"	"1723"	"0.000"	"371.836"	"59"	"34"	"172"	"34"	"1"	"590"	"64.7"	"5.99"	"589.07"	"34"	"0"	"566516708.200195"	"1529992232.71094"	"123884367.179688"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2870"	"2870"	"0.000"	"367.512"	"83"	"28"	"193"	"28"	"1"	"469"	"51.8"	"4.91"	"681.62"	"28"	"0"	"306564454.111328"	"812554842.539063"	"119168912.047852"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2472"	"2472"	"0.000"	"365.705"	"84"	"33"	"103"	"33"	"1"	"525"	"58.5"	"5.07"	"446.98"	"33"	"0"	"246555396.479492"	"613748038.96875"	"21539232.4921875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"494"	"494"	"0.000"	"364.570"	"72"	"38"	"112"	"38"	"1"	"716"	"76.7"	"5.30"	"467.48"	"38"	"0"	"235537311.554688"	"470590420.234375"	"81388522.6816406"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1086"	"1086"	"0.000"	"364.040"	"64"	"28"	"102"	"28"	"1"	"862"	"92.8"	"4.37"	"463.23"	"28"	"0"	"207273926.895508"	"453521050.171875"	"139611717.154297"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"998"	"998"	"0.000"	"360.153"	"60"	"38"	"106"	"38"	"1"	"865"	"94.4"	"5.31"	"459.63"	"38"	"0"	"151779593.636719"	"393239486.191406"	"32541020.4609375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1519"	"1519"	"0.000"	"355.938"	"40"	"38"	"97"	"38"	"1"	"1143"	"126.1"	"5.49"	"401.19"	"38"	"0"	"166508965.584961"	"357639462.4375"	"43900943.8349609"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2706"	"2706"	"0.000"	"353.371"	"58"	"38"	"94"	"38"	"1"	"902"	"102.6"	"5.74"	"403.83"	"38"	"0"	"100471342.833984"	"255892847.039063"	"15230201.4921875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3487"	"3487"	"0.000"	"350.265"	"78"	"32"	"107"	"32"	"1"	"545"	"57.2"	"4.78"	"380.44"	"32"	"0"	"115664527.60498"	"313168753.007813"	"139191609.539063"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2133"	"2133"	"0.000"	"343.831"	"86"	"34"	"101"	"34"	"1"	"497"	"56.5"	"5.39"	"424.75"	"34"	"0"	"169033770.632813"	"464374086.203125"	"16759430.4570313"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2221"	"2221"	"0.000"	"338.608"	"80"	"19"	"94"	"19"	"1"	"404"	"42.2"	"5.05"	"446.09"	"19"	"0"	"239596942.0625"	"547435574.625"	"11927104.7250977"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"639"	"639"	"0.000"	"337.280"	"56"	"33"	"95"	"32"	"1"	"674"	"72.8"	"4.74"	"425.80"	"33"	"1"	"75947811.4746094"	"249145777.78125"	"40027800.0708008"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3358"	"3358"	"0.000"	"335.383"	"71"	"27"	"96"	"27"	"1"	"398"	"43.2"	"4.68"	"435.43"	"27"	"0"	"606000430.326172"	"1426301843.625"	"286474666.9375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2012"	"2012"	"0.000"	"330.912"	"45"	"28"	"131"	"28"	"1"	"748"	"81.6"	"4.31"	"511.00"	"28"	"0"	"510687824.085449"	"1020254101.42188"	"215742339.111328"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3614"	"3614"	"0.000"	"330.210"	"63"	"27"	"138"	"27"	"1"	"492"	"54.1"	"4.87"	"470.94"	"27"	"0"	"327420288.114258"	"1029779868.57031"	"64935749.8574219"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2869"	"2869"	"0.000"	"327.810"	"62"	"28"	"108"	"28"	"1"	"610"	"67.4"	"5.24"	"424.75"	"28"	"0"	"304117866.41748"	"842469449.21875"	"90484588.1601563"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2931"	"2931"	"0.000"	"321.481"	"73"	"34"	"108"	"34"	"1"	"707"	"79.4"	"4.70"	"455.37"	"34"	"0"	"162340292.546875"	"365758765.875"	"82475996.4609375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1199"	"1199"	"0.000"	"317.060"	"82"	"27"	"79"	"27"	"1"	"374"	"41.1"	"5.33"	"349.34"	"27"	"0"	"190970303.803223"	"415141054.96875"	"14364013.6796875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3013"	"3013"	"0.000"	"313.551"	"69"	"31"	"78"	"31"	"1"	"573"	"63.7"	"6.67"	"299.87"	"31"	"0"	"129380271.422852"	"307272801.382813"	"17472250.0800781"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2473"	"2473"	"0.000"	"312.987"	"80"	"29"	"79"	"29"	"1"	"489"	"51.8"	"5.85"	"353.39"	"29"	"0"	"198861016.75"	"429114038.4375"	"34750513.96875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1916"	"1916"	"0.000"	"309.738"	"48"	"37"	"96"	"37"	"1"	"904"	"100.9"	"5.12"	"355.92"	"37"	"0"	"102958924.131836"	"320469590.09375"	"27118813.3125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"616"	"616"	"0.000"	"309.406"	"21"	"19"	"603"	"19"	"1"	"1356"	"139.7"	"4.04"	"2613.22"	"19"	"0"	"1025497609.38867"	"2446349987.67578"	"489320683.306885"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1726"	"1726"	"0.000"	"307.590"	"49"	"21"	"78"	"21"	"1"	"503"	"53.3"	"5.08"	"344.73"	"21"	"0"	"262900336.996094"	"615371454.375"	"89442702.2734375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2355"	"2355"	"0.000"	"306.717"	"74"	"27"	"85"	"27"	"1"	"418"	"45.1"	"6.09"	"374.37"	"27"	"0"	"161415881.074219"	"494905987.222656"	"42908382.3476563"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1297"	"1297"	"0.000"	"301.574"	"65"	"29"	"77"	"29"	"1"	"634"	"69.4"	"5.62"	"323.76"	"29"	"0"	"149604353.510742"	"371613025.09375"	"19528772.3120117"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1874"	"1874"	"0.000"	"299.966"	"48"	"40"	"75"	"40"	"1"	"1157"	"129.1"	"5.25"	"300.01"	"40"	"0"	"67499434.375"	"155764687.15625"	"15385109.7421875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"993"	"993"	"0.000"	"299.945"	"52"	"26"	"91"	"26"	"1"	"807"	"89.0"	"4.35"	"416.42"	"26"	"0"	"172146959.480469"	"397084503.515625"	"120019961.244141"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1180"	"1180"	"0.000"	"299.659"	"61"	"31"	"98"	"31"	"1"	"586"	"65.3"	"5.08"	"380.54"	"31"	"0"	"188542492.912109"	"398140510.6875"	"15993148.7421875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1811"	"1811"	"0.000"	"299.489"	"63"	"20"	"72"	"20"	"1"	"686"	"75.0"	"4.53"	"371.66"	"20"	"0"	"207937371.925781"	"327192323.09375"	"52694952.3125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"347"	"347"	"0.000"	"298.670"	"66"	"41"	"81"	"41"	"1"	"729"	"83.3"	"5.10"	"315.69"	"41"	"0"	"107802292.546875"	"218622907.09375"	"46722128.203125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1245"	"1245"	"0.000"	"293.782"	"70"	"28"	"73"	"28"	"1"	"469"	"52.8"	"5.27"	"314.96"	"28"	"0"	"119422528.492676"	"291232078.40625"	"5671411.2421875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1113"	"1113"	"0.000"	"293.628"	"68"	"32"	"84"	"32"	"1"	"556"	"63.0"	"5.29"	"327.78"	"32"	"0"	"139161794.257813"	"306487414.171875"	"40596579.9414063"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3292"	"3292"	"0.000"	"290.519"	"62"	"35"	"77"	"35"	"1"	"700"	"77.8"	"5.03"	"320.81"	"35"	"0"	"88983298.40625"	"194855044.1875"	"23735459.578125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3092"	"3092"	"0.000"	"289.839"	"84"	"20"	"333"	"20"	"1"	"312"	"32.2"	"4.75"	"1095.13"	"20"	"0"	"1691976328.17725"	"2810026212.58203"	"69388151.3217773"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"5"	"5"	"0.000"	"288.333"	"54"	"23"	"83"	"23"	"1"	"692"	"75.6"	"4.96"	"381.18"	"23"	"0"	"91109722.1865234"	"205687062.21875"	"8427785.38671875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"619"	"619"	"0.000"	"287.913"	"62"	"29"	"103"	"29"	"1"	"454"	"49.6"	"5.40"	"418.83"	"29"	"0"	"337761791.71582"	"825292997.59375"	"155832361.902344"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1942"	"1942"	"0.000"	"287.099"	"52"	"29"	"82"	"29"	"1"	"820"	"90.1"	"6.87"	"303.15"	"29"	"0"	"85458040.7728271"	"163630679.59375"	"26156393.484375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1540"	"1540"	"0.000"	"286.263"	"66"	"24"	"73"	"24"	"1"	"606"	"68.1"	"4.88"	"288.89"	"24"	"0"	"41554608.9414063"	"121193223.1875"	"17664560.3203125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2296"	"2296"	"0.000"	"284.564"	"52"	"33"	"84"	"33"	"1"	"864"	"94.3"	"4.48"	"345.09"	"33"	"0"	"88374480.0063477"	"223572216.21875"	"55736731.6582031"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"537"	"537"	"0.000"	"282.515"	"64"	"31"	"106"	"31"	"1"	"608"	"68.2"	"9.20"	"328.90"	"31"	"0"	"116393801.230225"	"346888872.962891"	"51595284.7275391"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"461"	"461"	"0.000"	"279.920"	"84"	"31"	"87"	"31"	"1"	"432"	"46.7"	"5.33"	"341.03"	"31"	"0"	"444454872.885742"	"780612764.15625"	"113195900.453125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1449"	"1449"	"0.000"	"278.432"	"60"	"33"	"82"	"33"	"1"	"795"	"86.5"	"5.03"	"308.54"	"33"	"0"	"134705072.609619"	"310779093.28125"	"30954342.1523438"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2131"	"2131"	"0.000"	"277.904"	"69"	"26"	"70"	"26"	"1"	"608"	"64.5"	"6.20"	"307.58"	"26"	"0"	"119529213.88208"	"334406164.421875"	"13013065.8496094"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1353"	"1353"	"0.000"	"277.788"	"73"	"22"	"56"	"22"	"1"	"550"	"59.3"	"5.43"	"269.09"	"22"	"0"	"66292824.5859375"	"152018430.09375"	"21231606.5217285"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1293"	"1293"	"0.000"	"277.015"	"64"	"33"	"98"	"33"	"1"	"641"	"69.0"	"4.79"	"349.70"	"33"	"0"	"119527620.699219"	"395842673.980469"	"51087164.96875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3626"	"3626"	"0.000"	"274.412"	"58"	"37"	"88"	"37"	"1"	"820"	"94.9"	"5.14"	"317.43"	"37"	"0"	"109300812.257813"	"279673748.15625"	"42918424.4785156"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1604"	"1604"	"0.000"	"273.001"	"55"	"32"	"78"	"32"	"1"	"790"	"86.8"	"4.81"	"290.47"	"32"	"0"	"143768056.078125"	"393054217.776855"	"53153225.1445313"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3426"	"3426"	"0.000"	"271.211"	"73"	"22"	"72"	"22"	"1"	"430"	"47.1"	"8.82"	"312.70"	"22"	"0"	"343162955.15625"	"820677446.8125"	"57716659.3457031"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2185"	"2185"	"0.000"	"270.638"	"58"	"34"	"78"	"34"	"1"	"675"	"76.2"	"5.64"	"305.26"	"34"	"0"	"86218599.9248047"	"199641004.453125"	"27326723.1201172"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2883"	"2883"	"0.000"	"269.805"	"46"	"30"	"62"	"30"	"1"	"924"	"105.0"	"5.21"	"261.02"	"30"	"0"	"53156330.03125"	"164200215.3125"	"5173353.19726563"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2004"	"2004"	"0.000"	"263.877"	"79"	"24"	"85"	"24"	"1"	"396"	"43.4"	"5.07"	"319.09"	"24"	"0"	"208533630.548828"	"581534402.0625"	"34460732.5390625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1906"	"1906"	"0.000"	"262.880"	"75"	"20"	"79"	"20"	"1"	"377"	"39.5"	"5.91"	"362.54"	"20"	"0"	"207869100.527344"	"664530416.4375"	"36171302.7148438"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1605"	"1605"	"0.000"	"260.147"	"55"	"30"	"65"	"30"	"1"	"753"	"82.1"	"6.81"	"277.64"	"30"	"0"	"117797909.470703"	"308294959.6875"	"4291875.8046875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"855"	"855"	"0.000"	"255.610"	"62"	"16"	"63"	"16"	"1"	"335"	"36.2"	"5.10"	"314.13"	"16"	"0"	"163747144.625"	"455627057.90625"	"30067993.2338867"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1049"	"1049"	"0.000"	"254.816"	"42"	"18"	"52"	"18"	"1"	"994"	"105.2"	"4.26"	"292.45"	"18"	"0"	"100545753.382813"	"185431219.0625"	"27906341.40625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1218"	"1218"	"0.000"	"249.504"	"71"	"26"	"84"	"26"	"1"	"465"	"52.4"	"5.16"	"312.26"	"26"	"0"	"108156324.083984"	"328327031.25"	"29812386.7929688"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"818"	"818"	"0.000"	"248.835"	"67"	"21"	"77"	"21"	"1"	"430"	"45.2"	"4.87"	"323.00"	"21"	"0"	"154071400.612305"	"437457134.1875"	"60164325.9023438"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1812"	"1812"	"0.000"	"248.827"	"63"	"25"	"66"	"25"	"1"	"455"	"51.1"	"5.91"	"274.89"	"25"	"0"	"117596860.710938"	"445266367.5"	"16479313.6953125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2815"	"2815"	"0.000"	"246.765"	"49"	"21"	"54"	"21"	"1"	"754"	"82.4"	"4.39"	"294.26"	"21"	"0"	"91155806.3251953"	"175008587.5625"	"18671083.9296875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2885"	"2885"	"0.000"	"246.076"	"63"	"21"	"60"	"21"	"1"	"501"	"54.8"	"5.86"	"260.77"	"21"	"0"	"135397126.072266"	"296724831.125"	"11961658.5390625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3"	"3"	"0.000"	"243.158"	"54"	"35"	"67"	"35"	"1"	"806"	"90.5"	"5.57"	"249.04"	"35"	"0"	"88621034.7226563"	"183661497.8125"	"32399822.5517578"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1727"	"1727"	"0.000"	"242.731"	"67"	"23"	"286"	"23"	"1"	"388"	"41.5"	"5.00"	"941.72"	"23"	"0"	"614237063.332031"	"1604201902.75391"	"300558152.886719"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"717"	"717"	"0.000"	"242.018"	"49"	"25"	"64"	"25"	"1"	"798"	"87.1"	"4.28"	"286.21"	"25"	"0"	"146171341.0625"	"302127083.8125"	"72065130.015625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2466"	"2466"	"0.000"	"240.652"	"58"	"28"	"59"	"28"	"1"	"572"	"62.7"	"5.25"	"243.16"	"28"	"0"	"69704223.7026367"	"182247493.210938"	"10154956.1855469"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2773"	"2773"	"0.000"	"239.923"	"55"	"28"	"59"	"28"	"1"	"821"	"88.4"	"5.22"	"260.92"	"28"	"0"	"51710531.5429688"	"151107529.375"	"16574015.2851563"	"High"	"High"	"High"	""
