gene_callers_id	source	accession	function	e_value
83	NCBI_PGAP	WP_049587562.1	DUF697 domain-containing protein	0
84	NCBI_PGAP	WP_014947791.1	threonine/serine exporter family protein	0
85	NCBI_PGAP	WP_049587563.1	2-iminoacetate synthase ThiH (thiH)	0
86	NCBI_PGAP	WP_049587565.1	thiazole synthase	0
87	NCBI_PGAP	WP_049587566.1	sulfur carrier protein ThiS (thiS)	0
88	NCBI_PGAP	WP_049587568.1	HesA/MoeB/ThiF family protein	0
89	NCBI_PGAP	WP_049587570.1	thiamine phosphate synthase (thiE)	0
90	NCBI_PGAP	WP_049587572.1	phosphomethylpyrimidine synthase ThiC (thiC)	0
91	NCBI_PGAP	WP_049587573.1	heme biosynthesis protein	0
92	NCBI_PGAP	WP_049587574.1	uroporphyrinogen-III C-methyltransferase	0
93	NCBI_PGAP	WP_039226924.1	uroporphyrinogen-III synthase	0
94	NCBI_PGAP	WP_014947801.1	hydroxymethylbilane synthase (hemC)	0
95	NCBI_PGAP	WP_049587575.1	GGDEF domain-containing protein	0
96	NCBI_PGAP	WP_014977932.1	alpha/beta fold hydrolase	0
97	NCBI_PGAP	WP_049589215.1	IS4 family transposase	0
98	NCBI_PGAP	WP_039236747.1	guanylate kinase	0
99	NCBI_PGAP	WP_014947805.1	DNA-directed RNA polymerase subunit omega (rpoZ)	0
100	NCBI_PGAP	WP_039226917.1	bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase (spoT)	0
101	NCBI_PGAP	WP_049587131.1	RidA family protein	0
102	NCBI_PGAP	WP_049587129.1	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH (trmH)	0
103	NCBI_PGAP	WP_049587128.1	ATP-dependent DNA helicase RecG (recG)	0
104	NCBI_PGAP	WP_049587127.1	class I SAM-dependent methyltransferase	0
105	NCBI_PGAP	WP_014996861.1	peroxiredoxin	0
107	NCBI_PGAP	WP_049587125.1	extracellular solute-binding protein	0
108	NCBI_PGAP	WP_014975321.1	iron ABC transporter permease	0
109	NCBI_PGAP	WP_039226913.1	ABC transporter ATP-binding protein	0
110	NCBI_PGAP	WP_049587123.1	NAD(P)/FAD-dependent oxidoreductase	0
111	NCBI_PGAP	WP_049587122.1	Abi family protein	0
115	NCBI_PGAP	WP_049587115.1	outer membrane beta-barrel protein	0
118	NCBI_PGAP	WP_049587137.1	diguanylate phosphodiesterase	0
119	NCBI_PGAP	WP_049587112.1	diguanylate cyclase	0
120	NCBI_PGAP	WP_039226907.1	ArgP/LysG family DNA-binding transcriptional regulator	0
121	NCBI_PGAP	WP_014975330.1	LysE family transporter	0
122	NCBI_PGAP	WP_049587136.1	multidrug efflux SMR transporter	0
123	NCBI_PGAP	WP_049587111.1	molecular chaperone DnaJ	0
124	NCBI_PGAP	WP_014947826.1	efflux RND transporter periplasmic adaptor subunit	0
125	NCBI_PGAP	WP_049587110.1	efflux RND transporter permease subunit	0
126	NCBI_PGAP	WP_014947828.1	alpha/beta fold hydrolase	0
127	NCBI_PGAP	WP_014947829.1	GNAT family N-acetyltransferase	0
128	NCBI_PGAP	WP_049587109.1	histone deacetylase family protein	0
129	NCBI_PGAP	WP_039236791.1	glutaredoxin	0
131	NCBI_PGAP	WP_049587106.1	chemotaxis protein	0
133	NCBI_PGAP	WP_049587104.1	DUF3300 domain-containing protein	0
134	NCBI_PGAP	WP_049587102.1	GTP cyclohydrolase II (ribA)	0
135	NCBI_PGAP	WP_049587134.1	EAL domain-containing protein	0
137	NCBI_PGAP	WP_014975342.1	glutathione S-transferase	0
138	NCBI_PGAP	WP_049587101.1	DNA helicase RecQ (recQ)	0
139	NCBI_PGAP	WP_049587099.1	thioesterase family protein	0
140	NCBI_PGAP	WP_014977961.1	magnesium transporter	0
141	NCBI_PGAP	WP_014977962.1	EamA family transporter RarD (rarD)	0
142	NCBI_PGAP	WP_049587098.1	diguanylate cyclase	0
143	NCBI_PGAP	WP_014977964.1	DNA helicase II (uvrD)	0
144	NCBI_PGAP	WP_049587097.1	serine O-acetyltransferase (cysE)	0
145	NCBI_PGAP	WP_049587095.1	sensor domain-containing diguanylate cyclase	0
146	NCBI_PGAP	WP_049587094.1	HAD-IA family hydrolase	0
147	NCBI_PGAP	WP_049587093.1	tyrosine recombinase XerC (xerC)	0
148	NCBI_PGAP	WP_049587092.1	DUF484 family protein	0
149	NCBI_PGAP	WP_049587091.1	diaminopimelate epimerase (dapF)	0
150	NCBI_PGAP	WP_039226879.1	diaminopimelate decarboxylase (lysA)	0
151	NCBI_PGAP	WP_039226877.1	lipoprotein	0
152	NCBI_PGAP	WP_049587089.1	glycosyl transferase	0
153	NCBI_PGAP	WP_014947854.1	phosphatase PAP2 family protein	0
154	NCBI_PGAP	WP_049587088.1	ribonuclease E activity regulator RraA (rraA)	0
155	NCBI_PGAP	WP_049587086.1	extracellular solute-binding protein	0
156	NCBI_PGAP	WP_039226872.1	S1/P1 nuclease	0
157	NCBI_PGAP	WP_014947858.1	UbiX family flavin prenyltransferase	0
158	NCBI_PGAP	WP_080986403.1	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase (mpl)	0
159	NCBI_PGAP	WP_049587083.1	class 1 fructose-bisphosphatase	0
160	NCBI_PGAP	WP_014947861.1	inorganic diphosphatase	0
161	NCBI_PGAP	WP_049587082.1	DUF3299 domain-containing protein	0
162	NCBI_PGAP	WP_049587081.1	dihydrodipicolinate synthase family protein	0
163	NCBI_PGAP	WP_014975360.1	2OG-Fe(II) oxygenase	0
164	NCBI_PGAP	WP_014947865.1	acyl-CoA thioesterase	0
166	NCBI_PGAP	WP_049587078.1	peptidase	0
167	NCBI_PGAP	WP_049587076.1	Hsp70 family protein	0
168	NCBI_PGAP	WP_049587075.1	excinuclease ABC subunit UvrA (uvrA)	0
169	NCBI_PGAP	WP_049587074.1	MFS transporter	0
170	NCBI_PGAP	WP_014977981.1	beta-phosphoglucomutase family hydrolase	0
172	NCBI_PGAP	WP_049587073.1	alpha/beta hydrolase	0
173	NCBI_PGAP	WP_014975370.1	IS4 family transposase	0
174	NCBI_PGAP	WP_014947876.1	LacI family DNA-binding transcriptional regulator	0
175	NCBI_PGAP	WP_049589083.1	galactose mutarotase	0
176	NCBI_PGAP	WP_049589081.1	UDP-glucose--hexose-1-phosphate uridylyltransferase	0
177	NCBI_PGAP	WP_039217399.1	galactokinase (galK)	0
178	NCBI_PGAP	WP_049589079.1	sodium/solute symporter	0
179	NCBI_PGAP	WP_049589078.1	single-stranded DNA-binding protein (ssb)	0
181	NCBI_PGAP	WP_049589076.1	dienelactone hydrolase family protein	0
182	NCBI_PGAP	WP_049589075.1	alpha-galactosidase	0
183	NCBI_PGAP	WP_049589074.1	SLC5 family protein	0
184	NCBI_PGAP	WP_014947886.1	TonB-dependent receptor	0
185	NCBI_PGAP	WP_014975370.1	IS4 family transposase	0
186	NCBI_PGAP	WP_049588438.1	glycerol kinase GlpK (glpK)	0
187	NCBI_PGAP	WP_014947888.1	DeoR/GlpR family transcriptional regulator	0
188	NCBI_PGAP	WP_049588435.1	glycerol-3-phosphate dehydrogenase	0
189	NCBI_PGAP	WP_049588434.1	phosphoglycerate mutase family protein	0
192	NCBI_PGAP	WP_014977997.1	PilN domain-containing protein	0
193	NCBI_PGAP	WP_049588433.1	type II secretion system protein M	0
194	NCBI_PGAP	WP_014947895.1	agglutinin biogenesis protein MshK	0
195	NCBI_PGAP	WP_014947896.1	pilus (MSHA type) biogenesis protein MshL (mshL)	0
196	NCBI_PGAP	WP_039236883.1	AAA family ATPase	0
197	NCBI_PGAP	WP_049588431.1	tetratricopeptide repeat protein	0
198	NCBI_PGAP	WP_049588429.1	GspE/PulE family protein	0
199	NCBI_PGAP	WP_049588428.1	type II secretion system F family protein	0
201	NCBI_PGAP	WP_049588424.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	0
202	NCBI_PGAP	WP_049588423.1	type II secretion system protein	0
203	NCBI_PGAP	WP_049588421.1	type II secretion system protein	0
204	NCBI_PGAP	WP_049588420.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	0
205	NCBI_PGAP	WP_049588419.1	type II secretion system protein	0
207	NCBI_PGAP	WP_049588416.1	agglutinin biogenesis protein MshQ	0
208	NCBI_PGAP	WP_014947909.1	rod shape-determining protein	0
209	NCBI_PGAP	WP_049588415.1	rod shape-determining protein MreC (mreC)	0
210	NCBI_PGAP	WP_014978011.1	rod shape-determining protein MreD (mreD)	0
211	NCBI_PGAP	WP_014978012.1	septum formation inhibitor Maf	0
212	NCBI_PGAP	WP_014947913.1	ribonuclease G	0
213	NCBI_PGAP	WP_049588413.1	TIGR02099 family protein	0
214	NCBI_PGAP	WP_049588411.1	carbon-nitrogen hydrolase family protein	0
215	NCBI_PGAP	WP_049588410.1	metalloprotease TldD (tldD)	0
217	NCBI_PGAP	WP_049588407.1	ribosome-associated protein	0
218	NCBI_PGAP	WP_049588406.1	metalloprotease PmbA (pmbA)	0
219	NCBI_PGAP	WP_049588405.1	AraC family transcriptional regulator	0
220	NCBI_PGAP	WP_049588403.1	beta-galactosidase	0
221	NCBI_PGAP	WP_014947922.1	two-component system response regulator ArcA (arcA)	0
222	NCBI_PGAP	WP_039236941.1	HAMP domain-containing histidine kinase	0
223	NCBI_PGAP	WP_049588401.1	glycogen synthase GlgA (glgA)	0
224	NCBI_PGAP	WP_049588398.1	methyltransferase	0
225	NCBI_PGAP	WP_039236951.1	tRNA (guanosine(46)-N7)-methyltransferase TrmB (trmB)	0
226	NCBI_PGAP	WP_049588396.1	alpha/beta fold hydrolase	0
227	NCBI_PGAP	WP_049588395.1	A/G-specific adenine glycosylase (mutY)	0
228	NCBI_PGAP	WP_049588394.1	oxidative damage protection protein	0
229	NCBI_PGAP	WP_148288986.1	CopL family metal-binding regulatory protein	0
230	NCBI_PGAP	WP_012516827.1	metal-binding protein	0
231	NCBI_PGAP	WP_012516828.1	methionyl-tRNA formyltransferase	0
232	NCBI_PGAP	WP_049587502.1	heavy metal sensor histidine kinase	0
233	NCBI_PGAP	WP_020742690.1	heavy metal response regulator transcription factor	0
234	NCBI_PGAP	WP_049587499.1	ATP synthase F0 subunit B	0
235	NCBI_PGAP	WP_014996986.1	TolC family protein	0
236	NCBI_PGAP	WP_049587498.1	efflux RND transporter periplasmic adaptor subunit	0
237	NCBI_PGAP	WP_012516834.1	efflux RND transporter permease subunit	0
238	NCBI_PGAP	WP_012516837.1	copper resistance protein CopC	0
239	NCBI_PGAP	WP_049587497.1	CopD family protein	0
240	NCBI_PGAP	WP_152910886.1	nuclear transport factor 2 family protein	0
241	NCBI_PGAP	WP_012516840.1	nuclear transport factor 2 family protein	0
242	NCBI_PGAP	WP_080986424.1	DUF1624 domain-containing protein	0
244	NCBI_PGAP	WP_049587493.1	SDR family NAD(P)-dependent oxidoreductase	0
248	NCBI_PGAP	WP_049587489.1	2Fe-2S iron-sulfur cluster binding domain-containing protein	0
252	NCBI_PGAP	WP_020742695.1	HyaD/HybD family hydrogenase maturation endopeptidase	0
253	NCBI_PGAP	WP_006991848.1	hydrogenase expression/formation protein	0
254	NCBI_PGAP	WP_012516857.1	hydrogenase small subunit	0
255	NCBI_PGAP	WP_049587488.1	nickel-dependent hydrogenase large subunit	0
257	NCBI_PGAP	WP_015066017.1	HypC/HybG/HupF family hydrogenase formation chaperone (hypC)	0
258	NCBI_PGAP	WP_012516861.1	hydrogenase maturation nickel metallochaperone HypA	0
259	NCBI_PGAP	WP_012516862.1	hydrogenase nickel incorporation protein HypB (hypB)	0
260	NCBI_PGAP	WP_012516863.1	hydrogenase formation protein HypD (hypD)	0
261	NCBI_PGAP	WP_015066019.1	carbamoyltransferase HypF (hypF)	0
262	NCBI_PGAP	WP_012516865.1	hydrogenase expression/formation protein HypE (hypE)	0
263	NCBI_PGAP	WP_012516866.1	MerR family DNA-binding protein	0
264	NCBI_PGAP	WP_049587504.1	copper-translocating P-type ATPase	0
265	NCBI_PGAP	WP_015066022.1	cupredoxin domain-containing protein	0
266	NCBI_PGAP	WP_014997005.1	DUF2933 domain-containing protein	0
267	NCBI_PGAP	WP_014997006.1	isoprenylcysteine carboxylmethyltransferase family protein	0
274	NCBI_PGAP	WP_012516884.1	TolC family protein	0
275	NCBI_PGAP	WP_012516885.1	efflux RND transporter periplasmic adaptor subunit	0
276	NCBI_PGAP	WP_012516886.1	CusA/CzcA family heavy metal efflux RND transporter	0
277	NCBI_PGAP	WP_012516887.1	cation transporter	0
278	NCBI_PGAP	WP_014978032.1	DUF3955 domain-containing protein	0
279	NCBI_PGAP	WP_015066029.1	diacylglycerol kinase	0
280	NCBI_PGAP	WP_044445998.1	phosphoethanolamine--lipid A transferase	0
281	NCBI_PGAP	WP_020742702.1	glycosyltransferase family 39 protein	0
282	NCBI_PGAP	WP_015066032.1	VTT domain-containing protein	0
283	NCBI_PGAP	WP_015066033.1	glycosyltransferase family 2 protein	0
284	NCBI_PGAP	WP_041702971.1	response regulator transcription factor	0
285	NCBI_PGAP	WP_020742704.1	HAMP domain-containing histidine kinase	0
288	NCBI_PGAP	WP_049587478.1	HupE/UreJ family protein	0
289	NCBI_PGAP	WP_049587475.1	CusA/CzcA family heavy metal efflux RND transporter	0
290	NCBI_PGAP	WP_049587474.1	HlyD family efflux transporter periplasmic adaptor subunit	0
291	NCBI_PGAP	WP_049587473.1	TolC family protein	0
292	NCBI_PGAP	WP_049587472.1	M56 family metallopeptidase	0
293	NCBI_PGAP	WP_012516825.1	BlaI/MecI/CopY family transcriptional regulator	0
294	NCBI_PGAP	WP_049587471.1	tyrosine-type recombinase/integrase	0
295	NCBI_PGAP	WP_049589212.1	IS66 family transposase	0
296	NCBI_PGAP	WP_156080664.1	metallophosphoesterase	0
297	NCBI_PGAP	WP_152910911.1	CopL family metal-binding regulatory protein	0
298	NCBI_PGAP	WP_014978038.1	metal-binding protein	0
299	NCBI_PGAP	WP_012516900.1	copper resistance protein CopC	0
300	NCBI_PGAP	WP_053103831.1	ATP-binding protein	0
301	NCBI_PGAP	WP_156080632.1	IS21 family transposase	0
302	NCBI_PGAP	WP_014978039.1	CopD family protein	0
303	NCBI_PGAP	WP_012516902.1	nuclear transport factor 2 family protein	0
304	NCBI_PGAP	WP_012516904.1	methionyl-tRNA formyltransferase	0
305	NCBI_PGAP	WP_012516906.1	MerR family DNA-binding protein	0
306	NCBI_PGAP	WP_012516907.1	copper-translocating P-type ATPase	0
307	NCBI_PGAP	WP_012516908.1	cupredoxin domain-containing protein	0
308	NCBI_PGAP	WP_012516909.1	DUF2933 domain-containing protein	0
309	NCBI_PGAP	WP_012516910.1	isoprenylcysteine carboxylmethyltransferase family protein	0
313	NCBI_PGAP	WP_012516915.1	APC family permease	0
314	NCBI_PGAP	WP_012516916.1	copper resistance protein B	0
315	NCBI_PGAP	WP_012516917.1	copper resistance system multicopper oxidase	0
316	NCBI_PGAP	WP_012516918.1	glutaredoxin	0
317	NCBI_PGAP	WP_012516919.1	DUF305 domain-containing protein	0
318	NCBI_PGAP	WP_015066041.1	two pore domain potassium channel family protein	0
319	NCBI_PGAP	WP_014978046.1	tyrosine-type recombinase/integrase	0
322	NCBI_PGAP	WP_049589060.1	haloacid dehalogenase type II	0
323	NCBI_PGAP	WP_014975370.1	IS4 family transposase	0
324	NCBI_PGAP	WP_049588923.1	TonB-dependent receptor	0
325	NCBI_PGAP	WP_049588921.1	substrate-binding domain-containing protein	0
326	NCBI_PGAP	WP_044556895.1	MFS transporter	0
327	NCBI_PGAP	WP_049588920.1	alpha,alpha-trehalase	0
328	NCBI_PGAP	WP_049588919.1	diguanylate cyclase	0
329	NCBI_PGAP	WP_049588918.1	DMT family transporter	0
330	NCBI_PGAP	WP_049588917.1	HAD family hydrolase	0
334	NCBI_PGAP	WP_080986469.1	N-6 DNA methylase	0
335	NCBI_PGAP	WP_014947959.1	DUF3392 domain-containing protein	0
336	NCBI_PGAP	WP_049588912.1	sugar phosphate isomerase/epimerase	0
337	NCBI_PGAP	WP_049588911.1	LacI family DNA-binding transcriptional regulator	0
338	NCBI_PGAP	WP_049588910.1	Gfo/Idh/MocA family oxidoreductase	0
339	NCBI_PGAP	WP_014997052.1	sugar phosphate isomerase/epimerase	0
340	NCBI_PGAP	WP_152910901.1	nucleoside permease	0
341	NCBI_PGAP	WP_049588908.1	TIM barrel protein	0
342	NCBI_PGAP	WP_015066066.1	GMC family oxidoreductase	0
343	NCBI_PGAP	WP_014947966.1	gluconate 2-dehydrogenase subunit 3 family protein	0
344	NCBI_PGAP	WP_024015575.1	DUF1080 domain-containing protein	0
345	NCBI_PGAP	WP_049588907.1	iron-containing alcohol dehydrogenase	0
346	NCBI_PGAP	WP_049588570.1	branched-chain amino acid aminotransferase	0
347	NCBI_PGAP	WP_014947970.1	2,3-diphosphoglycerate-dependent phosphoglycerate mutase (gpmA)	0
348	NCBI_PGAP	WP_049588569.1	cupin domain-containing protein	0
349	NCBI_PGAP	WP_049588568.1	aconitate hydratase AcnA (acnA)	0
350	NCBI_PGAP	WP_014947973.1	sel1 repeat family protein	0
351	NCBI_PGAP	WP_080986449.1	GspE/PulE family protein	0
352	NCBI_PGAP	WP_010179497.1	30S ribosomal protein S10 (rpsJ)	0
353	NCBI_PGAP	WP_014947975.1	50S ribosomal protein L3 (rplC)	0
354	NCBI_PGAP	WP_012516958.1	50S ribosomal protein L4 (rplD)	0
355	NCBI_PGAP	WP_012516959.1	50S ribosomal protein L23 (rplW)	0
356	NCBI_PGAP	WP_014997064.1	50S ribosomal protein L2 (rplB)	0
357	NCBI_PGAP	WP_012516961.1	30S ribosomal protein S19 (rpsS)	0
358	NCBI_PGAP	WP_014947977.1	50S ribosomal protein L22 (rplV)	0
359	NCBI_PGAP	WP_014947978.1	30S ribosomal protein S3 (rpsC)	0
360	NCBI_PGAP	WP_014997065.1	50S ribosomal protein L16 (rplP)	0
361	NCBI_PGAP	WP_014947980.1	50S ribosomal protein L29 (rpmC)	0
362	NCBI_PGAP	WP_014975444.1	30S ribosomal protein S17 (rpsQ)	0
363	NCBI_PGAP	WP_049588567.1	3-deoxy-D-manno-octulosonic acid transferase	0
364	NCBI_PGAP	WP_049588566.1	sodium:proton antiporter	0
366	NCBI_PGAP	WP_049588564.1	methyl-accepting chemotaxis protein	0
367	NCBI_PGAP	WP_039225122.1	M3 family metallopeptidase	0
368	NCBI_PGAP	WP_049588563.1	YgjV family protein	0
370	NCBI_PGAP	WP_049588561.1	formyltetrahydrofolate deformylase (purU)	0
371	NCBI_PGAP	WP_049588560.1	RNA 2',3'-cyclic phosphodiesterase (thpR)	0
372	NCBI_PGAP	WP_049588559.1	ATP-dependent helicase HrpB (hrpB)	0
373	NCBI_PGAP	WP_049588558.1	DUF4198 domain-containing protein	0
374	NCBI_PGAP	WP_049588557.1	lytic murein transglycosylase	0
375	NCBI_PGAP	WP_049588556.1	penicillin-binding protein 1B (mrcB)	0
377	NCBI_PGAP	WP_014948000.1	DUF808 domain-containing protein	0
378	NCBI_PGAP	WP_049588554.1	endonuclease	0
379	NCBI_PGAP	WP_014975463.1	helix-turn-helix domain-containing protein	0
381	NCBI_PGAP	WP_012516988.1	P-II family nitrogen regulator (glnK)	0
382	NCBI_PGAP	WP_014948004.1	ammonium transporter	0
383	NCBI_PGAP	WP_014975370.1	IS4 family transposase	0
384	NCBI_PGAP	WP_049589086.1	gamma-glutamyltransferase (ggt)	0
385	NCBI_PGAP	WP_049589087.1	Dyp-type peroxidase	0
386	NCBI_PGAP	WP_039225111.1	adenylate/guanylate cyclase domain-containing protein	0
387	NCBI_PGAP	WP_014948008.1	glutamate-1-semialdehyde 2,1-aminomutase (hemL)	0
388	NCBI_PGAP	WP_049589092.1	aspartate carbamoyltransferase	0
389	NCBI_PGAP	WP_049589088.1	TetR/AcrR family transcriptional regulator	0
390	NCBI_PGAP	WP_049589089.1	efflux RND transporter periplasmic adaptor subunit	0
391	NCBI_PGAP	WP_049589090.1	efflux RND transporter permease subunit	0
392	NCBI_PGAP	WP_049589091.1	DUF2982 domain-containing protein	0
393	NCBI_PGAP	WP_049588785.1	DNA topoisomerase IV subunit A (parC)	0
394	NCBI_PGAP	WP_049588784.1	heme NO-binding domain-containing protein	0
395	NCBI_PGAP	WP_049588783.1	bifunctional diguanylate cyclase/phosphodiesterase	0
396	NCBI_PGAP	WP_014948018.1	DUF1338 domain-containing protein	0
397	NCBI_PGAP	WP_049588782.1	succinylglutamate-semialdehyde dehydrogenase (astD)	0
398	NCBI_PGAP	WP_014948020.1	arginine N-succinyltransferase (astA)	0
399	NCBI_PGAP	WP_049588781.1	aspartate aminotransferase family protein (astC)	0
400	NCBI_PGAP	WP_049588789.1	HDOD domain-containing protein	0
401	NCBI_PGAP	WP_049588780.1	aminodeoxychorismate/anthranilate synthase component II	0
402	NCBI_PGAP	WP_049588779.1	tryptophan--tRNA ligase (trpS)	0
403	NCBI_PGAP	WP_049588788.1	ribulose-phosphate 3-epimerase	0
406	NCBI_PGAP	WP_014948028.1	DUF2970 domain-containing protein	0
407	NCBI_PGAP	WP_049588778.1	Dam family site-specific DNA-(adenine-N6)-methyltransferase	0
408	NCBI_PGAP	WP_049588777.1	cell division protein DamX	0
409	NCBI_PGAP	WP_049588776.1	3-dehydroquinate synthase (aroB)	0
410	NCBI_PGAP	WP_014948032.1	shikimate kinase AroK (aroK)	0
411	NCBI_PGAP	WP_049588775.1	type IV pilus secretin PilQ family protein (pilQ)	0
412	NCBI_PGAP	WP_014948034.1	pilus assembly protein PilP	0
413	NCBI_PGAP	WP_014948035.1	type 4a pilus biogenesis protein PilO (pilO)	0
414	NCBI_PGAP	WP_049588774.1	PilN domain-containing protein	0
415	NCBI_PGAP	WP_049588773.1	type IV pilus assembly protein PilM (pilM)	0
