gene_callers_id	source	accession	function	e_value
43	NCBI_PGAP	WP_039226974.1	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC (coaBC)	0
44	NCBI_PGAP	WP_014947752.1	DNA repair protein RadC (radC)	0
46	NCBI_PGAP	WP_014947754.1	YjbF family lipoprotein	0
47	NCBI_PGAP	WP_039236677.1	capsule biosynthesis GfcC family protein	0
48	NCBI_PGAP	WP_014977887.1	YjbH domain-containing protein	0
49	NCBI_PGAP	WP_014947757.1	50S ribosomal protein L28 (rpmB)	0
50	NCBI_PGAP	WP_012516577.1	50S ribosomal protein L33 (rpmG)	0
52	NCBI_PGAP	WP_014947759.1	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase (mutM)	0
53	NCBI_PGAP	WP_014947760.1	pantetheine-phosphate adenylyltransferase (coaD)	0
54	NCBI_PGAP	WP_156077647.1	3-deoxy-D-manno-octulosonic acid kinase	0
57	NCBI_PGAP	WP_156077649.1	EAL domain-containing protein	0
58	NCBI_PGAP	WP_014977894.1	glycine C-acetyltransferase	0
59	NCBI_PGAP	WP_014947766.1	L-threonine 3-dehydrogenase	0
60	NCBI_PGAP	WP_014947767.1	thiosulfate sulfurtransferase GlpE (glpE)	0
61	NCBI_PGAP	WP_156077650.1	rhomboid family intramembrane serine protease GlpG (glpG)	0
62	NCBI_PGAP	WP_014947769.1	flagellar basal body-associated protein FliL (fliL)	0
63	NCBI_PGAP	WP_014975276.1	chorismate lyase	0
64	NCBI_PGAP	WP_156077651.1	4-hydroxybenzoate octaprenyltransferase	0
65	NCBI_PGAP	WP_156077652.1	accessory factor UbiK family protein	0
66	NCBI_PGAP	WP_014947773.1	DNA helicase Rep (rep)	0
67	NCBI_PGAP	WP_014947774.1	GGDEF domain-containing protein	0
68	NCBI_PGAP	WP_156077653.1	cytochrome c5 family protein	0
69	NCBI_PGAP	WP_156077654.1	site-specific integrase	0
70	NCBI_PGAP	WP_014976569.1	PaaI family thioesterase	0
71	NCBI_PGAP	WP_156077655.1	zinc-dependent alcohol dehydrogenase family protein	0
72	NCBI_PGAP	WP_156077656.1	zinc-dependent alcohol dehydrogenase family protein	0
73	NCBI_PGAP	WP_156077657.1	SDR family oxidoreductase	0
74	NCBI_PGAP	WP_156077658.1	LysR family transcriptional regulator	0
76	NCBI_PGAP	WP_007182542.1	antibiotic biosynthesis monooxygenase	0
77	NCBI_PGAP	WP_156077660.1	helix-turn-helix domain-containing protein	0
78	NCBI_PGAP	WP_156077661.1	zinc-dependent alcohol dehydrogenase family protein	0
79	NCBI_PGAP	WP_128352380.1	helix-turn-helix transcriptional regulator	0
80	NCBI_PGAP	WP_156077662.1	LLM class oxidoreductase	0
81	NCBI_PGAP	WP_156077663.1	alkene reductase (nemA)	0
82	NCBI_PGAP	WP_156077664.1	EAL domain-containing protein	0
83	NCBI_PGAP	WP_156077665.1	IS66 family insertion sequence element accessoryprotein TnpB (tnpB)	0
84	NCBI_PGAP	WP_156077666.1	IS66 family insertion sequence element accessoryprotein TnpB	0
85	NCBI_PGAP	WP_156077667.1	porin	0
86	NCBI_PGAP	WP_156077668.1	cyclase family protein	0
87	NCBI_PGAP	WP_156077669.1	NAD-dependent succinate-semialdehyde dehydrogenase	0
88	NCBI_PGAP	WP_156077670.1	sigma 54-interacting transcriptional regulator	0
90	NCBI_PGAP	WP_156077672.1	iron-containing alcohol dehydrogenase	0
95	NCBI_PGAP	WP_156077677.1	S8 family serine peptidase	0
97	NCBI_PGAP	WP_156077679.1	AAA family ATPase	0
101	NCBI_PGAP	WP_156077681.1	DNA (cytosine-5-)-methyltransferase (dcm)	0
102	NCBI_PGAP	WP_156077682.1	DNA mismatch endonuclease Vsr (vsr)	0
107	NCBI_PGAP	WP_156077687.1	DUF3987 domain-containing protein	0
108	NCBI_PGAP	WP_156077688.1	helix-turn-helix domain-containing protein	0
111	NCBI_PGAP	WP_141153179.1	DUF2960 domain-containing protein	0
113	NCBI_PGAP	WP_156077692.1	DUF4124 domain-containing protein	0
114	NCBI_PGAP	WP_156077693.1	methyltransferase domain-containing protein	0
115	NCBI_PGAP	WP_156077694.1	HlyD family efflux transporter periplasmic adaptor subunit	0
116	NCBI_PGAP	WP_156077695.1	ribosome-associated ATPase/putative transporter RbbA	0
117	NCBI_PGAP	WP_156077696.1	ABC transporter permease	0
118	NCBI_PGAP	WP_156077697.1	TonB-dependent siderophore receptor	0
120	NCBI_PGAP	WP_075177658.1	acyl-CoA dehydrogenase family protein	0
121	NCBI_PGAP	WP_156077698.1	LysR family transcriptional regulator	0
122	NCBI_PGAP	WP_156077699.1	MBL fold metallo-hydrolase	0
123	NCBI_PGAP	WP_156077700.1	YcjX family protein	0
124	NCBI_PGAP	WP_156077701.1	DUF697 domain-containing protein	0
125	NCBI_PGAP	WP_156077702.1	threonine/serine exporter family protein	0
126	NCBI_PGAP	WP_156077703.1	2-iminoacetate synthase ThiH (thiH)	0
127	NCBI_PGAP	WP_156077704.1	thiazole synthase	0
128	NCBI_PGAP	WP_014996845.1	sulfur carrier protein ThiS (thiS)	0
129	NCBI_PGAP	WP_156077705.1	HesA/MoeB/ThiF family protein	0
130	NCBI_PGAP	WP_156077706.1	thiamine phosphate synthase (thiE)	0
131	NCBI_PGAP	WP_156077707.1	phosphomethylpyrimidine synthase ThiC (thiC)	0
132	NCBI_PGAP	WP_014975312.1	heme biosynthesis protein	0
133	NCBI_PGAP	WP_156077708.1	uroporphyrinogen-III C-methyltransferase	0
134	NCBI_PGAP	WP_014947800.1	uroporphyrinogen-III synthase	0
135	NCBI_PGAP	WP_014947801.1	hydroxymethylbilane synthase (hemC)	0
136	NCBI_PGAP	WP_014947802.1	GGDEF domain-containing protein	0
137	NCBI_PGAP	WP_014977932.1	alpha/beta fold hydrolase	0
138	NCBI_PGAP	WP_156077709.1	guanylate kinase	0
139	NCBI_PGAP	WP_014947805.1	DNA-directed RNA polymerase subunit omega (rpoZ)	0
140	NCBI_PGAP	WP_039226917.1	bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase (spoT)	0
141	NCBI_PGAP	WP_014975316.1	RidA family protein	0
142	NCBI_PGAP	WP_014975317.1	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH (trmH)	0
143	NCBI_PGAP	WP_014975318.1	ATP-dependent DNA helicase RecG (recG)	0
144	NCBI_PGAP	WP_156077710.1	class I SAM-dependent methyltransferase	0
145	NCBI_PGAP	WP_014947810.1	peroxiredoxin	0
147	NCBI_PGAP	WP_014975320.1	extracellular solute-binding protein	0
148	NCBI_PGAP	WP_156077711.1	iron ABC transporter permease	0
149	NCBI_PGAP	WP_039226913.1	ABC transporter ATP-binding protein	0
150	NCBI_PGAP	WP_156077712.1	NAD(P)/FAD-dependent oxidoreductase	0
151	NCBI_PGAP	WP_156077713.1	outer membrane beta-barrel protein	0
154	NCBI_PGAP	WP_156077715.1	diguanylate phosphodiesterase	0
155	NCBI_PGAP	WP_156077716.1	diguanylate cyclase	0
156	NCBI_PGAP	WP_156077717.1	ArgP/LysG family DNA-binding transcriptional regulator	0
157	NCBI_PGAP	WP_014975330.1	LysE family transporter	0
158	NCBI_PGAP	WP_014947823.1	multidrug efflux SMR transporter	0
159	NCBI_PGAP	WP_156077718.1	DUF1499 domain-containing protein	0
160	NCBI_PGAP	WP_156077719.1	molecular chaperone DnaJ	0
161	NCBI_PGAP	WP_014947826.1	efflux RND transporter periplasmic adaptor subunit	0
162	NCBI_PGAP	WP_156077720.1	efflux RND transporter permease subunit	0
163	NCBI_PGAP	WP_014947828.1	alpha/beta fold hydrolase	0
164	NCBI_PGAP	WP_014947829.1	GNAT family N-acetyltransferase	0
165	NCBI_PGAP	WP_014947830.1	histone deacetylase family protein	0
166	NCBI_PGAP	WP_069943519.1	glutaredoxin	0
168	NCBI_PGAP	WP_039236794.1	chemotaxis protein	0
170	NCBI_PGAP	WP_156077722.1	DUF3300 domain-containing protein	0
171	NCBI_PGAP	WP_014947836.1	GTP cyclohydrolase II (ribA)	0
172	NCBI_PGAP	WP_156077723.1	EAL domain-containing protein	0
174	NCBI_PGAP	WP_156077725.1	glutathione S-transferase	0
175	NCBI_PGAP	WP_014975343.1	DNA helicase RecQ (recQ)	0
176	NCBI_PGAP	WP_156077726.1	thioesterase family protein	0
177	NCBI_PGAP	WP_156077727.1	magnesium transporter	0
178	NCBI_PGAP	WP_156077728.1	EamA family transporter RarD (rarD)	0
179	NCBI_PGAP	WP_014996899.1	diguanylate cyclase	0
180	NCBI_PGAP	WP_156077729.1	DNA helicase II (uvrD)	0
181	NCBI_PGAP	WP_014947845.1	serine O-acetyltransferase (cysE)	0
182	NCBI_PGAP	WP_156077730.1	sensor domain-containing diguanylate cyclase	0
183	NCBI_PGAP	WP_156077731.1	HAD-IA family hydrolase	0
184	NCBI_PGAP	WP_156077732.1	tyrosine recombinase XerC (xerC)	0
185	NCBI_PGAP	WP_014947849.1	DUF484 family protein	0
186	NCBI_PGAP	WP_014947850.1	diaminopimelate epimerase (dapF)	0
187	NCBI_PGAP	WP_014975352.1	diaminopimelate decarboxylase (lysA)	0
188	NCBI_PGAP	WP_069943528.1	lipoprotein	0
189	NCBI_PGAP	WP_156077733.1	glycosyltransferase	0
190	NCBI_PGAP	WP_014947854.1	phosphatase PAP2 family protein	0
191	NCBI_PGAP	WP_014947855.1	ribonuclease E activity regulator RraA (rraA)	0
192	NCBI_PGAP	WP_014975355.1	extracellular solute-binding protein	0
193	NCBI_PGAP	WP_014975356.1	S1/P1 nuclease	0
194	NCBI_PGAP	WP_014947858.1	UbiX family flavin prenyltransferase	0
195	NCBI_PGAP	WP_156077734.1	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase (mpl)	0
196	NCBI_PGAP	WP_014947860.1	class 1 fructose-bisphosphatase	0
197	NCBI_PGAP	WP_014947861.1	inorganic diphosphatase	0
198	NCBI_PGAP	WP_014947862.1	DUF3299 domain-containing protein	0
199	NCBI_PGAP	WP_156077735.1	dihydrodipicolinate synthase family protein	0
200	NCBI_PGAP	WP_014975360.1	2OG-Fe(II) oxygenase	0
201	NCBI_PGAP	WP_156077736.1	acyl-CoA thioesterase	0
203	NCBI_PGAP	WP_156077738.1	peptidase	0
204	NCBI_PGAP	WP_156077739.1	Hsp70 family protein	0
205	NCBI_PGAP	WP_014975365.1	excinuclease ABC subunit UvrA (uvrA)	0
206	NCBI_PGAP	WP_069943536.1	MFS transporter	0
207	NCBI_PGAP	WP_156077740.1	beta-phosphoglucomutase family hydrolase	0
209	NCBI_PGAP	WP_014947874.1	alpha/beta hydrolase	0
210	NCBI_PGAP	WP_014947876.1	LacI family DNA-binding transcriptional regulator	0
211	NCBI_PGAP	WP_156077741.1	galactose mutarotase	0
212	NCBI_PGAP	WP_014947878.1	UDP-glucose--hexose-1-phosphate uridylyltransferase	0
213	NCBI_PGAP	WP_156077742.1	galactokinase (galK)	0
214	NCBI_PGAP	WP_014975374.1	sodium/solute symporter	0
215	NCBI_PGAP	WP_014947881.1	single-stranded DNA-binding protein (ssb)	0
217	NCBI_PGAP	WP_156077744.1	dienelactone hydrolase family protein	0
218	NCBI_PGAP	WP_156077745.1	alpha-galactosidase	0
219	NCBI_PGAP	WP_075177610.1	SLC5 family protein	0
220	NCBI_PGAP	WP_014947886.1	TonB-dependent receptor	0
221	NCBI_PGAP	WP_014947887.1	glycerol kinase GlpK (glpK)	0
222	NCBI_PGAP	WP_101563271.1	DeoR/GlpR family transcriptional regulator	0
223	NCBI_PGAP	WP_156077746.1	glycerol-3-phosphate dehydrogenase	0
224	NCBI_PGAP	WP_156077747.1	phosphoglycerate mutase family protein	0
227	NCBI_PGAP	WP_156077749.1	PilN domain-containing protein	0
228	NCBI_PGAP	WP_014947894.1	agglutinin biogenesis protein MshJ	0
229	NCBI_PGAP	WP_156077750.1	agglutinin biogenesis protein MshK	0
230	NCBI_PGAP	WP_014947896.1	pilus (MSHA type) biogenesis protein MshL (mshL)	0
231	NCBI_PGAP	WP_014947897.1	AAA family ATPase	0
232	NCBI_PGAP	WP_156077751.1	tetratricopeptide repeat protein	0
233	NCBI_PGAP	WP_101563275.1	GspE/PulE family protein	0
234	NCBI_PGAP	WP_014975386.1	type II secretion system F family protein	0
236	NCBI_PGAP	WP_156077752.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	0
237	NCBI_PGAP	WP_014975389.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	0
238	NCBI_PGAP	WP_014947904.1	type II secretion system protein	0
239	NCBI_PGAP	WP_014975390.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	0
240	NCBI_PGAP	WP_156077753.1	type II secretion system protein	0
242	NCBI_PGAP	WP_156077754.1	agglutinin biogenesis protein MshQ	0
243	NCBI_PGAP	WP_014947909.1	rod shape-determining protein	0
244	NCBI_PGAP	WP_014947910.1	rod shape-determining protein MreC (mreC)	0
245	NCBI_PGAP	WP_156077755.1	rod shape-determining protein MreD (mreD)	0
246	NCBI_PGAP	WP_014975395.1	septum formation inhibitor Maf	0
247	NCBI_PGAP	WP_014947913.1	ribonuclease G	0
248	NCBI_PGAP	WP_156077756.1	TIGR02099 family protein	0
249	NCBI_PGAP	WP_014947915.1	carbon-nitrogen hydrolase family protein	0
250	NCBI_PGAP	WP_039217280.1	metalloprotease TldD (tldD)	0
252	NCBI_PGAP	WP_156077757.1	ribosome-associated protein	0
253	NCBI_PGAP	WP_156077758.1	metalloprotease PmbA (pmbA)	0
254	NCBI_PGAP	WP_156077759.1	AraC family transcriptional regulator	0
255	NCBI_PGAP	WP_156077760.1	beta-galactosidase	0
256	NCBI_PGAP	WP_014947922.1	two-component system response regulator ArcA (arcA)	0
257	NCBI_PGAP	WP_039236941.1	HAMP domain-containing histidine kinase	0
258	NCBI_PGAP	WP_156077761.1	glycogen synthase GlgA (glgA)	0
259	NCBI_PGAP	WP_039225841.1	methyltransferase	0
260	NCBI_PGAP	WP_156077762.1	tRNA (guanosine(46)-N7)-methyltransferase TrmB (trmB)	0
261	NCBI_PGAP	WP_156077763.1	alpha/beta fold hydrolase	0
262	NCBI_PGAP	WP_156077764.1	A/G-specific adenine glycosylase (mutY)	0
263	NCBI_PGAP	WP_014947929.1	oxidative damage protection protein	0
265	NCBI_PGAP	WP_156077766.1	ImmA/IrrE family metallo-endopeptidase	0
267	NCBI_PGAP	WP_156077768.1	DUF2787 domain-containing protein	0
269	NCBI_PGAP	WP_156077770.1	ATP-binding protein	0
270	NCBI_PGAP	WP_156077771.1	tyrosine-type recombinase/integrase	0
275	NCBI_PGAP	WP_156077776.1	DUF262 domain-containing protein	0
279	NCBI_PGAP	WP_012516820.1	HupE/UreJ family protein	0
280	NCBI_PGAP	WP_061439146.1	CusA/CzcA family heavy metal efflux RND transporter	0
281	NCBI_PGAP	WP_012516822.1	HlyD family efflux transporter periplasmic adaptor subunit	0
282	NCBI_PGAP	WP_081333947.1	TolC family protein	0
283	NCBI_PGAP	WP_012516824.1	M56 family metallopeptidase	0
284	NCBI_PGAP	WP_012516825.1	BlaI/MecI/CopY family transcriptional regulator	0
285	NCBI_PGAP	WP_012516826.1	tyrosine-type recombinase/integrase	0
286	NCBI_PGAP	WP_156077778.1	HAD family hydrolase	0
287	NCBI_PGAP	WP_156077779.1	chemotaxis protein	0
288	NCBI_PGAP	WP_014947933.1	response regulator	0
289	NCBI_PGAP	WP_156077780.1	chemotaxis protein CheW	0
290	NCBI_PGAP	WP_014947935.1	chemotaxis protein CheW	0
291	NCBI_PGAP	WP_156077781.1	methyl-accepting chemotaxis protein	0
292	NCBI_PGAP	WP_156077782.1	chemotaxis protein CheR	0
293	NCBI_PGAP	WP_014947938.1	chemoreceptor glutamine deamidase CheD (cheD)	0
294	NCBI_PGAP	WP_014947939.1	chemotaxis response regulator protein-glutamate methylesterase (cheB)	0
295	NCBI_PGAP	WP_156077783.1	chemotaxis protein	0
296	NCBI_PGAP	WP_014947941.1	response regulator	0
297	NCBI_PGAP	WP_156077784.1	chemotaxis protein CheW	0
298	NCBI_PGAP	WP_014947943.1	chemotaxis protein CheW	0
299	NCBI_PGAP	WP_156077785.1	PAS domain S-box protein	0
300	NCBI_PGAP	WP_156079084.1	methyl-accepting chemotaxis protein	0
301	NCBI_PGAP	WP_156077786.1	chemotaxis protein CheR	0
302	NCBI_PGAP	WP_014947947.1	chemoreceptor glutamine deamidase CheD (cheD)	0
303	NCBI_PGAP	WP_014947948.1	chemotaxis response regulator protein-glutamate methylesterase (cheB)	0
305	NCBI_PGAP	WP_156077787.1	haloacid dehalogenase type II	0
306	NCBI_PGAP	WP_014947951.1	TonB-dependent receptor	0
307	NCBI_PGAP	WP_069943591.1	substrate-binding domain-containing protein	0
308	NCBI_PGAP	WP_069943592.1	MFS transporter	0
309	NCBI_PGAP	WP_069943593.1	alpha,alpha-trehalase	0
310	NCBI_PGAP	WP_069943594.1	GGDEF domain-containing protein	0
311	NCBI_PGAP	WP_014947956.1	DMT family transporter	0
312	NCBI_PGAP	WP_069943595.1	HAD family hydrolase	0
313	NCBI_PGAP	WP_014975432.1	response regulator	0
314	NCBI_PGAP	WP_014947959.1	DUF3392 domain-containing protein	0
315	NCBI_PGAP	WP_069943596.1	sugar phosphate isomerase/epimerase	0
316	NCBI_PGAP	WP_012516940.1	LacI family DNA-binding transcriptional regulator	0
317	NCBI_PGAP	WP_069943597.1	Gfo/Idh/MocA family oxidoreductase	0
318	NCBI_PGAP	WP_069943598.1	sugar phosphate isomerase/epimerase	0
319	NCBI_PGAP	WP_110288956.1	nucleoside permease	0
320	NCBI_PGAP	WP_014947964.1	TIM barrel protein	0
321	NCBI_PGAP	WP_014975438.1	GMC family oxidoreductase	0
322	NCBI_PGAP	WP_014947966.1	gluconate 2-dehydrogenase subunit 3 family protein	0
323	NCBI_PGAP	WP_156077788.1	DUF1080 domain-containing protein	0
324	NCBI_PGAP	WP_156077789.1	iron-containing alcohol dehydrogenase	0
325	NCBI_PGAP	WP_014947969.1	branched-chain amino acid aminotransferase	0
326	NCBI_PGAP	WP_156077790.1	2,3-diphosphoglycerate-dependent phosphoglycerate mutase (gpmA)	0
327	NCBI_PGAP	WP_014947971.1	cupin domain-containing protein	0
328	NCBI_PGAP	WP_156077791.1	aconitate hydratase AcnA (acnA)	0
329	NCBI_PGAP	WP_156077792.1	sel1 repeat family protein	0
330	NCBI_PGAP	WP_080589194.1	GspE/PulE family protein	0
331	NCBI_PGAP	WP_010179497.1	30S ribosomal protein S10 (rpsJ)	0
332	NCBI_PGAP	WP_014947975.1	50S ribosomal protein L3 (rplC)	0
333	NCBI_PGAP	WP_012516958.1	50S ribosomal protein L4 (rplD)	0
334	NCBI_PGAP	WP_012516959.1	50S ribosomal protein L23 (rplW)	0
335	NCBI_PGAP	WP_014947976.1	50S ribosomal protein L2 (rplB)	0
336	NCBI_PGAP	WP_012516961.1	30S ribosomal protein S19 (rpsS)	0
337	NCBI_PGAP	WP_014947977.1	50S ribosomal protein L22 (rplV)	0
338	NCBI_PGAP	WP_014947978.1	30S ribosomal protein S3 (rpsC)	0
339	NCBI_PGAP	WP_014997065.1	50S ribosomal protein L16 (rplP)	0
340	NCBI_PGAP	WP_014947980.1	50S ribosomal protein L29 (rpmC)	0
341	NCBI_PGAP	WP_014975444.1	30S ribosomal protein S17 (rpsQ)	0
342	NCBI_PGAP	WP_156077793.1	glycosyltransferase family 4 protein	0
343	NCBI_PGAP	WP_156077794.1	lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase	0
344	NCBI_PGAP	WP_061439208.1	sodium:proton antiporter	0
347	NCBI_PGAP	WP_014975449.1	methyl-accepting chemotaxis protein	0
348	NCBI_PGAP	WP_014975450.1	M3 family metallopeptidase	0
350	NCBI_PGAP	WP_014975452.1	YgjV family protein	0
352	NCBI_PGAP	WP_014975454.1	formyltetrahydrofolate deformylase (purU)	0
353	NCBI_PGAP	WP_014975455.1	RNA 2',3'-cyclic phosphodiesterase (thpR)	0
354	NCBI_PGAP	WP_014975456.1	ATP-dependent helicase HrpB (hrpB)	0
355	NCBI_PGAP	WP_014975457.1	DUF4198 domain-containing protein	0
356	NCBI_PGAP	WP_014975458.1	lytic murein transglycosylase	0
357	NCBI_PGAP	WP_014975459.1	penicillin-binding protein 1B (mrcB)	0
359	NCBI_PGAP	WP_014975461.1	DUF808 domain-containing protein	0
360	NCBI_PGAP	WP_156077795.1	endonuclease	0
361	NCBI_PGAP	WP_014975463.1	helix-turn-helix domain-containing protein	0
363	NCBI_PGAP	WP_012516988.1	P-II family nitrogen regulator (glnK)	0
364	NCBI_PGAP	WP_014948004.1	ammonium transporter	0
365	NCBI_PGAP	WP_156077797.1	gamma-glutamyltransferase (ggt)	0
366	NCBI_PGAP	WP_156077798.1	Dyp-type peroxidase	0
367	NCBI_PGAP	WP_014948007.1	adenylate/guanylate cyclase domain-containing protein	0
368	NCBI_PGAP	WP_014948008.1	glutamate-1-semialdehyde 2,1-aminomutase (hemL)	0
369	NCBI_PGAP	WP_014948009.1	aspartate carbamoyltransferase	0
370	NCBI_PGAP	WP_014975467.1	TetR/AcrR family transcriptional regulator	0
371	NCBI_PGAP	WP_156077799.1	efflux RND transporter periplasmic adaptor subunit	0
372	NCBI_PGAP	WP_156077800.1	efflux RND transporter permease subunit	0
373	NCBI_PGAP	WP_156077801.1	DUF2982 domain-containing protein	0
374	NCBI_PGAP	WP_156077802.1	hybrid sensor histidine kinase/response regulator	0
375	NCBI_PGAP	WP_061439217.1	DNA topoisomerase IV subunit A (parC)	0
376	NCBI_PGAP	WP_014948016.1	heme NO-binding domain-containing protein	0
377	NCBI_PGAP	WP_014975472.1	bifunctional diguanylate cyclase/phosphodiesterase	0
378	NCBI_PGAP	WP_014948018.1	DUF1338 domain-containing protein	0
379	NCBI_PGAP	WP_014975473.1	succinylglutamate-semialdehyde dehydrogenase (astD)	0
380	NCBI_PGAP	WP_014948020.1	arginine N-succinyltransferase (astA)	0
381	NCBI_PGAP	WP_156077803.1	aspartate aminotransferase family protein (astC)	0
382	NCBI_PGAP	WP_014978114.1	HDOD domain-containing protein	0
383	NCBI_PGAP	WP_156077804.1	aminodeoxychorismate/anthranilate synthase component II	0
384	NCBI_PGAP	WP_039225099.1	tryptophan--tRNA ligase (trpS)	0
385	NCBI_PGAP	WP_156077805.1	ribulose-phosphate 3-epimerase	0
388	NCBI_PGAP	WP_014948028.1	DUF2970 domain-containing protein	0
389	NCBI_PGAP	WP_069943612.1	Dam family site-specific DNA-(adenine-N6)-methyltransferase	0
390	NCBI_PGAP	WP_156077806.1	cell division protein DamX	0
391	NCBI_PGAP	WP_156077807.1	3-dehydroquinate synthase (aroB)	0
392	NCBI_PGAP	WP_014948032.1	shikimate kinase AroK (aroK)	0
393	NCBI_PGAP	WP_101563361.1	type IV pilus secretin PilQ family protein (pilQ)	0
394	NCBI_PGAP	WP_156077808.1	pilus assembly protein PilP	0
395	NCBI_PGAP	WP_014948035.1	type 4a pilus biogenesis protein PilO (pilO)	0
396	NCBI_PGAP	WP_014948036.1	PilN domain-containing protein	0
397	NCBI_PGAP	WP_156077809.1	type IV pilus assembly protein PilM (pilM)	0
398	NCBI_PGAP	WP_156077810.1	PBP1A family penicillin-binding protein	0
399	NCBI_PGAP	WP_014978126.1	NAD-dependent malic enzyme (maeA)	0
402	NCBI_PGAP	WP_014975482.1	glutathione-dependent disulfide-bond oxidoreductase (yghU)	0
404	NCBI_PGAP	WP_156077812.1	catalase	0
405	NCBI_PGAP	WP_039219244.1	TetR/AcrR family transcriptional regulator	0
406	NCBI_PGAP	WP_156077813.1	NAD(P)-binding protein	0
407	NCBI_PGAP	WP_156077814.1	DUF2855 family protein	0
408	NCBI_PGAP	WP_156079085.1	alpha/beta fold hydrolase	0
409	NCBI_PGAP	WP_156077815.1	EAL domain-containing protein	0
410	NCBI_PGAP	WP_075177760.1	amino-acid N-acetyltransferase	0
411	NCBI_PGAP	WP_014948049.1	argininosuccinate lyase (argH)	0
412	NCBI_PGAP	WP_110289422.1	argininosuccinate synthase	0
413	NCBI_PGAP	WP_075177759.1	ornithine carbamoyltransferase	0
414	NCBI_PGAP	WP_156077816.1	acetylglutamate kinase (argB)	0
415	NCBI_PGAP	WP_069943627.1	N-acetyl-gamma-glutamyl-phosphate reductase (argC)	0
416	NCBI_PGAP	WP_014948054.1	methylglyoxal synthase	0
418	NCBI_PGAP	WP_039225072.1	flagellar basal body L-ring protein FlgH	0
